pid,Kích thước màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Tấm nền,Màn hình cảm ứng,Độ sáng
334996,"14""",2K,60 Hz,45% NTSC,"['LED Backlit', '300 nits', 'Acer ComfyView']",IPS,False,300 nits
331362,"15.6""",Full HD,60 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
325500,"15.6""",Full HD,60 Hz,,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
340564,"15.6""",2.8K,120 Hz,100% DCI-P3,"['Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",,False,600 nits
338311,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
323920,"15.6""",Full HD,60 Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",,False,250 nits
334997,"15.6""",Full HD,60 Hz,45% NTSC,"['TFT', '220 nits', 'LED Backlit', 'Acer ComfyView']",,False,220 nits
335372,"15.3""",Liquid Retina,Hãng không công bố,,"['Wide color (P3)', '500 nits brightness', 'True Tone Technology', '1 tỷ màu']",IPS,False,500 nits
326279,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
310449,"15.6""",Full HD,60 Hz,,Chống chói Anti Glare,IPS,False,
340486,"15.6""",Full HD,Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
334446,"15.3""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
339679,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
333430,"15.6""",Full HD,165 Hz,45% NTSC,Acer ComfyView,IPS,False,
328235,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
321467,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
337233,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits']",OLED,False,400 nits
328237,"16""",2K,144 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",,False,300 nits
337420,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
334999,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",IPS,False,
338204,"15.6""",Full HD,144 Hz,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
329786,"15.6""",Full HD,144 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
341563,"16""",2.8K,120 Hz,100% sRGB,"['300 nits', 'ComfortView Plus']",,False,300 nits
326830,"14""",Full HD,60 Hz,62.5% sRGB,300 nits,IPS,True,300 nits
339683,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",IPS,False,250 nits
333886,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
332365,"15.6""",Full HD,144 Hz,100% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
333104,"15.6""",Full HD,120 Hz,,WVA,,False,
311176,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
341612,"15.6""",Full HD,144 Hz,45% NTSC,,IPS,False,
343120,"15.6""",Full HD,60 Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",IPS,False,
335554,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare']",,False,
325247,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",,False,
325691,"15.6""",Full HD,60 Hz,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",,False,250 nits
328238,"16""",2K,144 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",,False,300 nits
338206,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
327872,"15.6""",Full HD,144 Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
337476,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
326049,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
331564,"14.2""",Liquid Retina XDR display (3024 x 1964),120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",,False,1000 nits
326122,"15.6""",Full HD,144 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
343121,"15.6""",Full HD,60 Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",IPS,False,
339687,"16""",Full HD+,144 Hz,45% NTSC,"['Thời gian phản hồi: 3 ms', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
338278,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
338324,"16""",2K,144 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",IPS,False,300 nits
337474,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
311177,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
322072,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
328906,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
310447,"15.6""",Full HD,144 Hz,45% NTSC,,IPS,False,
343122,"15.6""",Full HD,60 Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",IPS,False,
339681,"15.6""",Full HD,120 Hz,40% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
340560,"15.6""",Full HD,120 Hz,,WVA,,False,
341270,"15.6""",Full HD,60 Hz,62.5% sRGB,Chống chói Anti Glare,,False,
330162,"15.6""",Full HD,144 Hz,"['62.5% sRGB', '47.34% Adobe RGB', '45% NTSC']","['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",IPS,False,250 nits
338318,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",IPS,False,250 nits
318163,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
339857,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
335553,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare']",,False,
328814,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
327707,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
331566,"14.2""",Liquid Retina XDR display (3024 x 1964),120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",,False,1000 nits
341607,"15.6""",Full HD,165 Hz,100% sRGB,"['Wide viewing angle', 'LCD', 'TFT', 'Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",IPS,False,
327050,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
340559,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
336036,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",IPS,False,250 nits
325697,"15.6""",Full HD,144 Hz,45% NTSC,"['Acer ComfyView', '250 nits']",IPS,False,250 nits
334998,"15.6""",Full HD,144 Hz,45% NTSC,Acer ComfyView,IPS,False,
328949,"15.6""",2.8K,120 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",OLED,False,600 nits
337042,"16""",2K,Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
326831,"14""",Full HD,60 Hz,62.5% sRGB,300 nits,IPS,True,300 nits
327097,"15.6""",Full HD,60 Hz,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
335555,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",OLED,False,400 nits
333103,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",,False,
341602,"16""",2K,60 Hz,45% NTSC,"['LED Backlit', 'Acer ComfyView', 'WVA']",IPS,False,
330932,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
334689,"15.6""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
338316,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
341618,"15.6""",Full HD,Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
338322,"16""",2K,144 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",IPS,False,300 nits
333102,"15.6""",Full HD,120 Hz,,WVA,,False,
334794,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
339202,"14""",2K,60 Hz,45% NTSC,,IPS,False,
322222,"14""",2K,60 Hz,45% NTSC,"['LED Backlit', 'Acer ComfyView']",IPS,False,
340479,"15.6""",Full HD,Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
334449,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",OLED,False,400 nits
339587,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",OLED,False,400 nits
331568,"14.2""",Liquid Retina XDR display (3024 x 1964),120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'True Tone Technology', '1 tỷ màu']",,False,1000 nits
326861,"15.6""",Full HD,144 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
337044,"16""",2K,Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
339581,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",OLED,False,400 nits
337472,"15.6""",Full HD,120 Hz,,WVA,,False,
340491,"14""",Full HD,Hãng không công bố,,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
322270,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",,False,250 nits
338320,"14""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",IPS,False,300 nits
313177,"15.6""",Full HD,144 Hz,,Acer ComfyView,IPS,False,
340484,"15.6""",Full HD,Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
314630,"15.6""",Full HD,60 Hz,,Acer ComfyView,IPS,False,
337475,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
340004,"15.6""",Full HD,144 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
340558,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
334795,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
327896,"15.6""",Full HD,144 Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
340478,"15.6""",Full HD,Hãng không công bố,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
337473,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
333421,"16""",Full HD+,60 Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",,False,
332578,"15.6""",Full HD,60 Hz,45% NTSC,Acer ComfyView,IPS,False,
340481,"14""",Full HD,Hãng không công bố,62.5% sRGB,300 nits,IPS,True,300 nits
322073,"15.6""",Full HD,60 Hz,,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
340487,"15.1""",2.8K,165 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', '500 nits Glossy', 'Dolby Vision']",OLED,False,500 nits
332450,"14.2""",Liquid Retina XDR display (3024 x 1964),120 Hz,,"['ProMotion', 'Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)', 'Độ sáng SDR: lên đến 1000 nits', 'Wide color (P3)', 'Màn hình Nano-texture', 'True Tone Technology', '1 tỷ màu']",,False,1000 nits
308697,"15.6""",Full HD,144 Hz,,Chống chói Anti Glare,IPS,False,
317704,"14""",Full HD,60 Hz,,Chống chói Anti Glare,TN,False,
325479,"16""",3K,120 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '400 nits', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",OLED,False,400 nits
333105,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
337469,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', 'WVA']",,False,
337041,"16""",2K,Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
333423,"16""",Full HD+,60 Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView']",,False,
341604,"15.6""",Full HD,144 Hz,45% NTSC,"['LED-backlit TFT LCD', 'Wide viewing angle', 'Acer ComfyView']",IPS,False,
313974,"16.1""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
339656,"16""",2K,60 Hz,,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
332370,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
314849,"15.6""",Full HD,144 Hz,,,IPS,False,
334440,"14""",2K,60 Hz,100% DCI-P3,"['Low Blue Light', '400 nits']",OLED,True,400 nits
342469,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",WVA,False,250 nits
327977,"15.6""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit']",,False,
330578,"15.6""",Full HD,144 Hz,"['62.5% sRGB', '47.34% Adobe RGB', '45% NTSC']","['Chống chói Anti Glare', 'Adaptive-Sync', '250 nits']",,False,250 nits
337043,"16""",2K,Hãng không công bố,62.5% sRGB,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
319657,"15.6""",Full HD,144 Hz,45% NTSC,Acer ComfyView,IPS,False,
325953,"14""",Full HD+,60 Hz,,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
331506,"14""",2.8K,120 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Low Blue Light', 'LED UWVA', 'Corning Gorilla Glass 3', '400 nits', '500 nits (Khi bật HDR)']",OLED,True,400 nits
333424,"16""",Full HD+,60 Hz,45% NTSC,"['TFT', 'Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",,False,
326641,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
339652,"14""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
322100,"16""",2.8K,240 Hz,100% DCI-P3,,IPS,False,
329853,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
327898,"15.6""",Full HD,144 Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
341568,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', '250 nits']",,False,250 nits
310839,"15.6""",Full HD,60 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits', '1.07 tỷ màu']",OLED,False,600 nits
340483,"14""",Full HD,Hãng không công bố,62.5% sRGB,300 nits,IPS,True,300 nits
338312,"14""",2K,60 Hz,45% NTSC,"['Display with ComfortView', 'Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
339201,"16""",2K,165 Hz,45% NTSC,"['TFT', 'LED Backlit', 'Acer ComfyView', 'WVA']",,False,
325699,"15.6""",Full HD,60 Hz,45% NTSC,"['Acer ComfyView', '250 nits']",IPS,False,250 nits
339653,"16""",2K,60 Hz,,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
329736,"14""",Full HD,60 Hz,45% NTSC,300 nits,IPS,False,300 nits
339265,"13.3""",2K,Hãng không công bố,100% sRGB,"['Chống chói Anti Glare', '400 nits']",IPS,False,400 nits
327710,"14""",Full HD,60 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
340565,"15.6""",2.8K,120 Hz,100% DCI-P3,"['Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",OLED,False,600 nits
340562,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
325477,"15.6""",2.8K,120 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '600 nits (Khi bật HDR)', '1.07 tỷ màu']",OLED,False,600 nits
342526,"15.6""",Full HD,144 Hz,100% sRGB,"['G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
323325,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
329852,"14""",Full HD+,60 Hz,45% NTSC,"['Display with ComfortView', 'Chống chói Anti Glare', '250 nits', 'WVA']",,True,250 nits
333425,"16""",Full HD+,60 Hz,45% NTSC,"['TFT', 'Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView']",,False,
339655,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
302209,"15.6""",Full HD,60 Hz,,BrightView,IPS,False,
338000,"15.6""",Full HD,144 Hz,45% NTSC,,IPS,False,
309375,"16""",2K,60 Hz,,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
335170,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",,False,250 nits
325244,"14""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
328443,"16.1""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
338279,"15.1""",2.8K,165 Hz,,"['Chuẩn DisplayHDR True Black 600', 'Low Blue Light', '500 nits brightness']",OLED,False,500 nits
304543,"15.6""",Full HD,60 Hz,,"['TFT', 'LED Backlit', 'Acer ComfyView']",,False,
332368,"14""",2K,60 Hz,45% NTSC,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
326637,"14""",2K,60 Hz,45% NTSC,"['TFT', 'LED Backlit', '300 nits', 'Acer ComfyView']",,False,300 nits
329429,"16.1""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
328474,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
328483,"15.6""",Full HD,144 Hz,100% sRGB,"['Low Blue Light', 'G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
316941,"15.6""",Full HD,144 Hz,45% NTSC,"['Wled-backlit', 'Chống chói Anti Glare']",IPS,False,
317712,"14""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '250 nits']",,False,250 nits
340561,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
338317,"15.6""",Full HD,120 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
333094,"16""",2K,165 Hz,100% sRGB,"['G-Sync', 'Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
323335,"13.3""",Full HD,60 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
272282,"15.6""",Full HD,144 Hz,,"['LED Backlit', 'Acer ComfyView']",IPS,False,
313973,"16.1""",Full HD,144 Hz,45% NTSC,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
321436,"15.6""",Full HD,60 Hz,45% NTSC,Acer ComfyView,IPS,False,
329112,"15.6""",Full HD,60 Hz,45% NTSC,"['Low Blue Light', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
336968,"15.6""",2K,120 Hz,100% DCI-P3,,OLED,False,
339616,"14""",2K,60 Hz,100% DCI-P3,"['Chuẩn DisplayHDR True Black 500', '400 nits']",OLED,False,400 nits
329787,"14""",2K,144 Hz,100% sRGB,Chống chói Anti Glare,IPS,False,
337471,"15.6""",Full HD,120 Hz,,WVA,,False,
336031,"14""",2.8K,120 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Màn hình bảo vệ mắt - EYE CARE', 'Chuẩn DisplayHDR True Black 500', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",,True,400 nits
335171,"16""",2K,60 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",IPS,False,300 nits
333872,"13.3""",2K,60 Hz,100% sRGB,"['Chống chói Anti Glare', '400 nits']",IPS,False,400 nits
326876,"14""",2K,60 Hz,45% NTSC,"['TFT', 'LED Backlit', '300 nits', 'Acer ComfyView']",,False,300 nits
337843,"16""",2K,165 Hz,45% NTSC,"['Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
327506,"14""",Full HD,60 Hz,100% sRGB,"['TFT', 'LED Backlit', '300 nits', 'Acer ComfyView']",,False,300 nits
328815,"14""",2.8K,60 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)', '1.07 tỷ màu']",OLED,True,400 nits
333197,"15.3""",2.8K,120 Hz,100% DCI-P3,"['Low Blue Light', 'Eyesafe', 'anti-fingerprint', '500 nits brightness', 'Dolby Vision']",IPS,True,500 nits
339952,"16""",2.8K,240 Hz,100% DCI-P3,"['Chống chói Anti Glare', '500 nits brightness']",IPS,False,500 nits
313627,"15.6""",Full HD,60 Hz,,"['Chống chói Anti Glare', '250 nits']",IPS,False,250 nits
339688,"16""",2K,144 Hz,45% NTSC,"['Chống chói Anti Glare', 'LED Backlit', '300 nits']",,False,300 nits
331508,"15.6""",Full HD,120 Hz,,"['Chống chói Anti Glare', 'LED Backlit', '250 nits', 'WVA']",,False,250 nits
333107,"14""",2K,60 Hz,,"['Display with ComfortView', 'Chống chói Anti Glare', '250 nits', 'WVA']",,False,250 nits
339684,"16""",2K,165 Hz,"['100% sRGB', '75.35% Adobe RGB', '72% NTSC']","['G-Sync', 'Chống chói Anti Glare', '300 nits']",IPS,False,300 nits
338208,"14""",2.8K,120 Hz,100% DCI-P3,"['Thời gian phản hồi 0.2 ms', 'Low Blue Light', '400 nits', '500 nits (Khi bật HDR)']",OLED,True,400 nits
327406,"15.6""",Full HD,60 Hz,45% NTSC,Chống chói Anti Glare,IPS,False,
327507,"15.6""",Full HD,60 Hz,45% NTSC,"['Acer ComfyView', '250 nits']",,False,250 nits
341626,"15.6""",Full HD,180 Hz,100% sRGB,"['LCD', 'TFT', 'Chống chói Anti Glare', 'LED Backlit', 'Acer ComfyView', 'eDP Wide View Angle']",IPS,False,
